City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
provideniya,100,RU,1569735689,92,64.42,-173.23,40.55,2.3
ballina,23,AU,1569735690,68,-28.87,153.57,77.0,18.34
barrow,90,US,1569735690,100,39.51,-90.4,73.99,11.56
mtsamboro,0,YT,1569735690,78,-12.7,45.07,82.4,8.05
komsomolskiy,100,RU,1569735690,94,67.55,63.78,31.55,15.39
hervey bay,49,AU,1569735674,57,-25.3,152.85,79.0,17.22
marsala,20,IT,1569735691,88,37.8,12.44,64.99,4.7
chokurdakh,99,RU,1569735691,95,70.62,147.9,30.38,5.21
la ronge,90,CA,1569735692,69,55.1,-105.3,35.6,4.7
mahebourg,75,MU,1569735692,73,-20.41,57.7,77.0,16.11
dunedin,90,NZ,1569735692,88,-45.87,170.5,48.99,11.01
port alfred,100,ZA,1569735693,93,-33.59,26.89,66.0,8.21
maymyo,75,MM,1569735693,66,22.03,96.47,89.6,3.36
talaya,0,RU,1569735693,75,55.79,84.89,43.0,11.18
manggar,2,ID,1569735694,43,-2.88,108.27,91.06,10.31
merauke,50,ID,1569735694,85,-8.49,140.4,78.77,22.41
namibe,99,AO,1569735694,85,-15.19,12.15,67.72,7.85
san carlos de bariloche,40,AR,1569735694,81,-41.13,-71.31,44.6,13.87
pangai,100,TO,1569735695,82,-19.8,-174.35,74.93,20.31
bluff,63,NZ,1569735695,76,-46.6,168.33,53.01,11.01
arlit,0,NE,1569735695,12,18.74,7.39,89.3,5.57
karratha,0,AU,1569735696,15,-20.74,116.85,93.35,18.79
kahului,40,US,1569735421,74,20.89,-156.47,82.0,13.87
sept-iles,90,CA,1569735534,100,50.2,-66.38,46.99,4.7
zhanaozen,89,KZ,1569735696,51,43.35,52.85,56.25,11.18
pachora,100,IN,1569735697,60,20.66,75.35,85.36,8.86
port-gentil,75,GA,1569735697,94,-0.72,8.78,77.0,13.87
saint-philippe,0,RE,1569735697,61,-21.36,55.77,80.6,8.05
dingle,83,IE,1569735698,87,52.14,-10.27,57.47,20.29
new norfolk,75,AU,1569735698,50,-42.78,147.06,55.4,14.99
valenca,41,BR,1569735698,99,-13.37,-39.07,66.1,0.31
half moon bay,75,US,1569735699,81,37.46,-122.43,57.99,16.11
muros,75,ES,1569735699,100,42.77,-9.06,66.0,9.17
chuy,0,UY,1569735699,93,-33.69,-53.46,54.23,7.96
west wendover,90,US,1569735699,87,40.74,-114.07,48.2,11.41
coos bay,75,US,1569735700,87,43.37,-124.22,51.8,3.36
hofn,94,IS,1569735700,93,64.25,-15.21,35.12,13.49
nanortalik,67,GL,1569735700,67,60.14,-45.24,41.26,3.27
kununurra,0,AU,1569735701,15,-15.77,128.74,104.0,17.22
brzesko,20,PL,1569735701,93,49.97,20.61,59.0,5.82
minyar,86,RU,1569735701,89,55.07,57.55,33.19,5.61
safita,20,SY,1569735702,69,34.82,36.12,77.0,3.36
thouars,0,FR,1569735702,87,46.98,-0.22,60.01,11.41
olot,20,ES,1569735702,100,42.18,2.49,68.0,1.14
xuanzhou,0,CN,1569735763,43,30.95,118.78,84.31,5.32
dodola,21,ET,1569735763,83,6.98,39.18,58.72,2.33
brae,4,GB,1569735763,93,60.4,-1.35,51.8,6.93
biak,99,ID,1569735763,81,-0.91,122.88,72.16,3.33
kavieng,27,PG,1569735764,62,-2.57,150.8,84.73,5.1
thompson,75,CA,1569735629,86,55.74,-97.86,33.8,4.7
flinders,75,AU,1569735764,55,-34.58,150.85,68.0,11.41
broken hill,0,AU,1569735765,21,-31.97,141.45,71.6,9.17
hobyo,61,SO,1569735765,68,5.35,48.53,82.13,15.21
saldanha,88,ZA,1569735765,88,-33.01,17.94,62.48,16.75
slidell,1,US,1569735765,94,30.28,-89.78,82.4,3.04
moindou,75,NC,1569735766,54,-21.69,165.68,80.6,9.17
pangody,10,RU,1569735766,67,65.85,74.49,35.08,3.04
port blair,1,IN,1569735732,71,11.67,92.75,83.43,4.9
brigham city,90,US,1569735767,93,41.51,-112.02,50.0,3.36
bartlesville,1,US,1569735767,88,36.75,-95.98,78.8,5.82
sola,73,VU,1569735767,85,-13.88,167.55,79.52,19.48
segou,6,ML,1569735768,78,13.43,-6.22,75.69,4.23
andenes,100,NO,1569735768,66,69.31,16.12,41.0,24.16
atbasar,19,KZ,1569735768,61,51.81,68.36,39.37,16.2
iqaluit,90,CA,1569735769,100,63.75,-68.52,37.4,13.87
nemuro,75,JP,1569735769,82,43.32,145.57,66.2,6.93
nome,40,US,1569735769,88,30.04,-94.42,82.99,3.36
foumbot,100,CM,1569735770,95,5.51,10.64,63.95,4.21
manchester,1,US,1569735641,82,43,-71.45,69.01,6.51
srednekolymsk,90,RU,1569735770,71,67.46,153.71,31.72,1.34
sitka,37,US,1569735770,86,37.17,-99.65,68.0,13
mar del plata,11,AR,1569735537,51,-46.43,-67.52,48.02,16.13
guerrero negro,0,MX,1569735771,86,27.97,-114.04,68.2,19.6
ancud,75,CL,1569735771,87,-41.87,-73.83,44.6,6.93
meulaboh,53,ID,1569735767,75,4.14,96.13,81.58,9.06
changji,0,CN,1569735772,28,32.07,116.17,87.79,5.97
santa isabel do rio negro,85,BR,1569735772,96,-0.41,-65.02,73.31,2.28
clarence town,1,BS,1569735773,78,23.1,-74.98,83.0,11.07
trairi,77,BR,1569735520,80,-3.28,-39.27,74.23,8.1
norman wells,40,CA,1569735773,55,65.28,-126.83,37.4,3.36
phan thiet,88,VN,1569735773,75,10.93,108.1,84.47,6.93
kamenka,99,RU,1569735774,57,53.19,44.05,45.0,9.24
cao bang,0,VN,1569735774,37,22.67,106.25,87.62,1.16
lorengau,13,PG,1569735774,70,-2.02,147.27,83.23,2.46
celldomolk,0,HU,1569735774,87,47.26,17.15,57.2,4.7
raudeberg,99,NO,1569735775,87,61.99,5.14,51.8,14.99
colonelganj,100,IN,1569735775,90,27.13,81.7,72.67,15.37
tianpeng,0,CN,1569735775,29,28.88,112.34,91.17,2.89
puerto ayora,0,EC,1569735776,88,-0.74,-90.35,68.0,3
moranbah,70,AU,1569735776,23,-22,148.04,88.81,7.56
walvis bay,90,NA,1569735776,93,-22.95,14.51,63.0,5.82
nalobikha,98,RU,1569735777,48,53.2,84.6,49.12,12.84
havre-saint-pierre,90,CA,1569735777,93,50.23,-63.6,50.0,4.74
praya,40,ID,1569735778,62,-8.71,116.27,86.0,12.75
kano,83,NG,1569735838,88,11.99,8.53,77.0,10.29
coquimbo,0,CL,1569735838,82,-29.95,-71.34,55.4,2.84
rio grande,1,BR,1569735838,87,-32.03,-52.1,61.0,3.62
vila franca do campo,40,PT,1569735839,94,37.72,-25.43,71.6,11.41
hithadhoo,79,MV,1569735839,71,-0.6,73.08,83.38,10.94
serenje,75,ZM,1569735839,22,-13.23,30.22,72.67,7.92
vardo,100,NO,1569735840,69,70.37,31.11,37.66,11.52
sao joao da barra,91,BR,1569735840,89,-21.64,-41.05,66.35,4.18
traverse city,1,US,1569735840,93,44.76,-85.62,54.0,16.93
preobrazheniye,0,RU,1569735841,49,42.9,133.91,75.62,8.72
grand gaube,75,MU,1569735841,73,-20.01,57.66,77.0,16.11
karema,45,TZ,1569735841,60,-6.82,30.44,78.79,10.22
touros,40,BR,1569735842,88,-5.2,-35.46,71.6,3.36
kaitangata,90,NZ,1569735842,79,-46.28,169.85,51.01,11.99
kuusamo,90,FI,1569735842,87,65.96,29.19,44.6,6.93
puerto lempira,0,HN,1569735843,77,15.27,-83.77,85.19,14.12
coralici,39,BA,1569735843,92,45.01,15.87,57.0,2.91
cleethorpes,100,GB,1569735843,93,53.56,-0.03,59.0,12.75
camalu,0,MX,1569735844,84,30.85,-116.07,66.22,8.88
san pedro,0,AR,1569735648,79,-33.68,-59.66,57.99,3
chapais,90,CA,1569735844,80,49.78,-74.86,39.2,5.82
pingdu,0,CN,1569735844,35,36.79,119.95,86.0,8.95
lensk,100,RU,1569735845,78,60.71,114.91,38.27,7.85
noboribetsu,75,JP,1569735845,82,42.42,141.1,72.0,12.75
christchurch,51,NZ,1569735599,37,-43.53,172.64,69.8,19.46
zinacantan,90,MX,1569735846,94,16.76,-92.72,73.4,2.24
state college,1,US,1569735738,82,40.79,-77.86,68.0,6.93
charters towers,0,AU,1569735846,19,-20.07,146.27,91.51,9.82
broome,0,AU,1569735846,51,-17.97,122.23,86.0,13.87
alice springs,45,AU,1569735610,9,-23.7,133.88,93.2,10.29
samarai,86,PG,1569735847,88,-10.62,150.67,77.99,7.96
ucluelet,0,CA,1569735622,74,48.94,-125.55,46.99,9.86
saint-augustin,90,CA,1569735847,76,45.63,-73.98,57.0,13.87
cabo san lucas,60,MX,1569735657,73,22.89,-109.91,79.0,9.19
marrakesh,0,MA,1569735848,68,31.63,-7.99,69.8,3.36
gimli,100,CA,1569735848,65,50.63,-96.99,43.0,5.53
kualakapuas,79,ID,1569735849,39,-3.01,114.39,94.43,4.76
minot,90,US,1569735849,93,48.23,-101.3,44.6,19.46
kadiri,89,IN,1569735849,56,14.11,78.16,82.91,5.86
ampanihy,0,MG,1569735850,54,-24.69,44.75,73.98,4.25
santo tomas,0,PE,1569735850,94,-3.8,-73.34,73.4,2.24
rezh,2,RU,1569735850,72,57.37,61.4,36.07,12.12
sorong,38,ID,1569735850,86,-0.86,131.25,81.61,4.23
manta,90,EC,1569735851,88,-0.95,-80.73,73.4,6.93
itaituba,83,BR,1569735851,87,-4.26,-55.99,74.03,1.3
ivanovka,96,RU,1569735851,78,50.81,43.66,48.0,3
bogotol,85,RU,1569735852,62,56.21,89.53,45.31,4.9
cap-aux-meules,100,CA,1569735852,96,47.38,-61.86,54.23,15.97
metro,30,ID,1569735852,35,-5.11,105.31,94.9,7.94
granadilla de abona,20,ES,1569735853,78,28.12,-16.58,72.0,12.75
aksu,90,KZ,1569735913,81,52.04,76.93,44.6,20.13
mudhol,99,IN,1569735913,56,16.33,75.29,82.4,4.99
castro verde,0,PT,1569735914,100,37.7,-8.08,53.6,8.05
mayo,5,CA,1569735914,72,63.59,-135.9,32.0,2.24
eidfjord,33,NO,1569735914,91,60.47,7.07,41.0,1.19
cap malheureux,75,MU,1569735914,73,-19.98,57.61,77.0,16.11
tevaitoa,3,PF,1569735915,84,-16.78,-151.5,77.54,20.85
jarvenpaa,75,FI,1569735915,100,60.47,25.09,54.0,12.75
brewster,90,US,1569735798,83,41.76,-70.08,70.0,14.99
kidal,1,ML,1569735916,12,18.44,1.41,85.3,5.7
gorontalo,74,ID,1569735916,61,0.54,123.06,85.09,9.22
esperance,37,AU,1569735916,60,-33.86,121.89,68.0,10.29
naze,40,JP,1569735917,74,28.37,129.48,86.0,10.29
ostrovnoy,100,RU,1569735917,92,68.05,39.51,42.34,12.53
bonfim,75,BR,1569735917,77,-20.33,-44.24,68.0,9.17
petropavlovsk-kamchatskiy,81,RU,1569735917,58,53.05,158.65,55.4,8.95
constitucion,54,MX,1569735918,79,23.99,-104.67,63.0,5.01
kingsport,1,US,1569735695,83,36.55,-82.56,73.0,1.83
penzance,86,GB,1569735918,93,50.12,-5.53,62.01,26.4
gwadar,3,PK,1569735919,80,25.12,62.33,83.5,7.92
zhangjiakou,0,CN,1569735919,40,40.77,114.88,68.89,9.75
portland,0,AU,1569735919,29,-33.35,149.98,64.0,5.99
roma,15,AU,1569735920,15,-26.57,148.79,86.04,13.8
ludwigslust,100,DE,1569735920,94,53.33,11.5,57.99,7
qaqortoq,48,GL,1569735920,30,60.72,-46.03,55.4,19.46
turukhansk,100,RU,1569735920,73,65.8,87.96,37.8,5.86
krasnyy chikoy,100,RU,1569735921,63,50.36,108.75,54.34,4.47
ilhabela,89,BR,1569735921,79,-23.78,-45.36,66.73,12.62
carauari,81,BR,1569735921,86,-4.88,-66.9,74.65,1.83
skibbereen,90,IE,1569735922,93,51.55,-9.27,51.8,25.28
rio cuarto,0,AR,1569735922,60,-33.13,-64.35,68.0,9.17
isangel,40,VU,1569735922,69,-19.55,169.27,80.6,11.41
develi,0,TR,1569735923,76,38.39,35.49,50.0,4.7
tromso,75,NO,1569735923,73,69.65,18.96,37.99,13.87
udaipura,91,IN,1569735923,77,23.07,78.51,81.81,10.29
basco,100,PH,1569735924,82,20.45,121.97,82.6,25.05
caravelas,100,BR,1569735924,86,-17.73,-39.27,72.47,10.22
altusried,36,DE,1569735924,87,47.81,10.21,52.0,9.17
aran,0,AZ,1569735925,72,40.63,46.98,68.0,9.17
kruisfontein,100,ZA,1569735925,88,-34,24.73,62.32,4.03
las vegas,75,US,1569735815,37,36.17,-115.15,75.2,12.75
parabel,100,RU,1569735925,80,58.71,81.5,39.98,14.38
zhigansk,32,RU,1569735926,56,66.77,123.37,37.3,3.24
la palma,99,PA,1569735926,78,8.4,-78.14,80.82,3.74
caohai,39,CN,1569735926,63,26.87,104.28,65.0,6.17
bonavista,100,CA,1569735927,85,48.65,-53.11,50.0,1.99
beringovskiy,100,RU,1569735927,91,63.05,179.32,39.73,5.01
irig,0,RS,1569735927,100,45.1,19.85,57.2,1.12
tiznit,0,MA,1569735928,72,29.7,-9.73,70.58,6.69
college,75,US,1569735928,52,64.86,-147.8,48.2,8.05
graaff-reinet,100,ZA,1569735988,72,-32.25,24.53,62.5,12.26
mgachi,44,RU,1569735989,93,51.05,142.27,54.99,20.27
rawson,0,AR,1569735989,38,-43.3,-65.11,58.95,19.46
san cristobal,98,EC,1569735989,77,-1.02,-79.44,74.27,7.05
tashara,100,RU,1569735990,55,55.52,83.51,47.2,11.9
bonthe,85,SL,1569735990,93,7.53,-12.5,74.27,3.11
anadyr,75,RU,1569735990,80,64.73,177.51,41.0,6.71
port elizabeth,40,ZA,1569735991,93,-33.92,25.57,66.2,6.93
kudahuvadhoo,96,MV,1569735991,70,2.67,72.89,82.17,8.32
aranos,0,NA,1569735991,39,-24.14,19.11,63.83,7.49
kikwit,100,CD,1569735991,84,-5.04,18.82,72.7,1.81
salalah,75,OM,1569735992,83,17.01,54.1,82.4,12.75
meridian,1,US,1569735992,88,32.36,-88.7,73.4,2.39
ahipara,47,NZ,1569735992,84,-35.17,173.16,59.38,17.11
hohhot,0,CN,1569735993,46,40.81,111.65,73.4,6.71
enshi,0,CN,1569735993,42,30.29,109.48,76.27,4
kloulklubed,40,PW,1569735993,62,7.04,134.26,87.8,6.93
upernavik,59,GL,1569735994,70,72.79,-56.15,40.63,8.39
bambous virieux,75,MU,1569735994,73,-20.34,57.76,77.0,16.11
kota tinggi,75,MY,1569735994,66,1.73,103.9,91.4,4.7
ndola,89,ZM,1569735995,32,-12.97,28.64,66.99,4
sale,67,AU,1569735995,68,-38.11,147.06,63.0,7
shache,0,CN,1569735995,11,38.42,77.24,85.55,5.14
katsuura,75,JP,1569735995,69,33.93,134.5,82.4,5.82
manokwari,42,ID,1569735996,72,-0.87,134.08,79.22,5.3
acari,87,PE,1569735996,89,-15.44,-74.62,58.37,11.3
nyurba,84,RU,1569735996,58,63.29,118.35,40.93,8.41
sechura,10,PE,1569735997,89,-5.56,-80.82,62.69,9.24
rocha,0,UY,1569735997,97,-34.48,-54.34,46.84,6.31
westport,100,NZ,1569735997,99,-41.75,171.6,51.62,8.63
lavrentiya,100,RU,1569735998,93,65.58,-170.99,36.92,2.73
stornoway,16,GB,1569735998,87,58.21,-6.39,53.6,9.17
tuatapere,81,NZ,1569735998,76,-46.13,167.69,53.01,11.01
ambilobe,60,MG,1569735999,50,-13.19,49.05,86.87,11.16
anau,19,PF,1569735999,84,-16.52,-151.73,78.16,20.13
santo nino,75,PH,1569735999,66,15.34,120.63,89.6,9.17
labuhan,23,ID,1569735999,38,-2.54,115.51,94.23,2.8
macherla,90,IN,1569736000,65,16.48,79.44,84.69,6.38
port moresby,40,PG,1569735936,74,-9.47,147.16,86.0,11.41
pervomayskoye,85,RU,1569736000,59,57.07,86.23,46.06,9.71
martapura,60,ID,1569736001,65,-3.41,114.85,86.29,13.11
filingue,28,NE,1569736001,59,14.35,3.32,83.97,14.83
denpasar,40,ID,1569735989,78,-8.65,115.22,82.4,16.11
harper,100,LR,1569736001,90,4.38,-7.71,75.28,4.36
gull lake,100,CA,1569736002,84,50.1,-108.48,32.0,14.99
sao filipe,16,CV,1569736002,83,14.9,-24.5,77.44,11.18
alofi,32,NU,1569736002,88,-19.06,-169.92,73.4,12.75
chake chake,87,TZ,1569736003,81,-5.25,39.77,78.61,9.46
sarakhs,0,IR,1569736003,47,36.54,61.16,78.8,18.34
sibu,75,MY,1569736003,66,2.29,111.83,89.6,4.7
tocopilla,97,CL,1569736064,86,-22.09,-70.2,55.71,2.53
kawalu,67,ID,1569736064,54,-7.38,108.21,83.36,8.14
dubbo,0,AU,1569736064,16,-32.25,148.6,73.4,17.22
ariquemes,100,BR,1569736065,91,-9.91,-63.03,71.32,1.66
mandalgovi,99,MN,1569736065,20,45.76,106.27,74.38,13.73
manzhouli,55,CN,1569736065,25,49.6,117.43,56.45,14.74
guymon,1,US,1569736065,82,36.68,-101.48,68.0,9.17
kaspiysk,20,RU,1569736066,72,42.88,47.64,59.0,15.66
teguldet,21,RU,1569736066,63,57.31,88.17,45.18,5.1
eagle pass,90,US,1569736066,74,28.71,-100.5,84.2,9.17
nieuw amsterdam,0,SR,1569736067,94,5.88,-55.08,78.01,4.7
freeport,0,BS,1569736067,82,26.54,-78.7,80.15,17.25
zverinogolovskoye,5,RU,1569736067,72,54.46,64.85,38.95,11.21
dalvik,90,IS,1569736068,69,65.97,-18.53,39.2,5.82
glendive,90,US,1569736068,100,47.11,-104.71,43.0,20.8
tura,100,RU,1569736068,62,64.27,100.22,33.3,5.12
san andres,100,CO,1569736069,98,8.22,-76.58,73.28,2.1
atasu,100,KZ,1569736069,60,48.68,71.64,41.6,10.71
bone,8,ID,1569736069,22,-9.83,124.45,95.35,17.36
presidencia roque saenz pena,0,AR,1569736069,43,-26.79,-60.44,68.92,7.61
aklavik,20,CA,1569736070,77,68.22,-135.01,32.0,2.24
alihe,83,CN,1569736070,31,50.57,123.73,53.44,2.82
porto novo,61,CV,1569736070,79,17.02,-25.06,78.64,13.82
muana,37,BR,1569736071,89,-1.53,-49.22,74.02,2.51
bardiyah,0,LY,1569736071,75,31.76,25.09,74.88,6.53
ribas do rio pardo,3,BR,1569736071,51,-20.45,-53.76,70.25,4.68
balaipungut,23,ID,1569736072,75,1.11,101.31,86.54,0.98
caucaguita,75,VE,1569736072,78,10.36,-66.8,80.6,3.36
makakilo city,40,US,1569736072,78,21.35,-158.09,82.4,4.7
mogadishu,75,SO,1569736073,74,2.04,45.34,80.6,13.87
batagay,26,RU,1569736073,57,67.65,134.64,34.45,7.4
kavaratti,71,IN,1569736073,68,10.57,72.64,82.04,3.04
west bay,0,KY,1569736074,84,19.37,-81.42,84.0,5.99
hanzhong,68,CN,1569736074,54,33.08,107.03,77.87,3.49
tezu,98,IN,1569736074,58,27.93,96.16,82.53,3.47
padang,100,ID,1569736075,84,-0.92,100.36,79.2,14
yumen,47,CN,1569736075,10,40.29,97.04,82.48,0.25
majdanpek,11,RS,1569736075,89,44.42,21.94,61.0,2.28
portobelo,20,PA,1569736075,94,9.55,-79.65,79.0,2.24
santa maria,0,BR,1569736076,96,-29.69,-53.81,52.36,4.97
gasa,100,BT,1569736076,95,27.91,89.73,35.01,7.27
riyadh,0,SA,1569735863,33,24.63,46.72,87.8,5.28
gizo,69,SB,1569736077,74,-8.1,156.84,83.59,8.03
te anau,94,NZ,1569736077,77,-45.41,167.72,47.47,8.99
port hawkesbury,90,CA,1569736077,76,45.62,-61.36,57.99,3.36
saratoga springs,90,US,1569735941,100,43.08,-73.79,68.0,3.36
nara,76,ML,1569736078,60,15.17,-7.29,80.33,9.35
algiers,20,DZ,1569736078,93,36.75,3.04,64.4,3.36
jos,98,NG,1569736078,92,9.92,8.9,69.37,6.6
erice,20,IT,1569735972,82,38.04,12.59,70.0,3.36
mirebalais,100,HT,1569736139,85,18.83,-72.1,71.1,3.76
luderitz,96,NA,1569736139,87,-26.65,15.16,56.45,6.71
boguchany,100,RU,1569736140,74,58.38,97.46,38.23,9.46
moses lake,90,US,1569736140,80,47.13,-119.28,42.8,18.34
acajutla,100,SV,1569736081,78,13.59,-89.83,81.47,11.34
severo-yeniseyskiy,86,RU,1569736140,74,60.37,93.04,36.5,5.01
yulara,63,AU,1569736141,9,-25.24,130.99,95.0,6.93
otjimbingwe,0,NA,1569736141,44,-22.35,16.13,62.5,1.97
aleksandrov gay,38,RU,1569736141,57,50.14,48.57,49.18,6.49
susaki,75,JP,1569736142,74,33.42,133.28,84.0,5.82
novikovo,99,RU,1569736142,65,51.15,37.89,50.13,9.57
